season,base_state,succ,n
2019,123,0.5380443451906205,6269
2019,12_,0.5485002631117348,17103
2019,1_3,0.5564914318907929,6886
2019,1__,0.5475789372352715,41552
2019,_23,0.542361574382922,4497
2019,_2_,0.5468577050793261,16262
2019,__3,0.5501002004008017,4990
2019,___,0.5511712311954273,114068
2020,123,0.5160630841121495,6848
2020,12_,0.5333403727363919,18941
2020,1_3,0.5254953764861294,7570
2020,1__,0.5249130938586327,44013
2020,_23,0.5233340568699805,4607
2020,_2_,0.5201943516550258,16465
2020,__3,0.5449979911611089,4978
2020,___,0.5276879065490584,117452
2021,123,0.5057202607946857,8129
2021,12_,0.5068988682755413,19351
2021,1_3,0.514387503425596,7298
2021,1__,0.5134647887323943,44375
2021,_23,0.5160462130937099,4674
2021,_2_,0.5138084901109503,16584
2021,__3,0.5263157894736842,4560
2021,___,0.5130487888797137,116256
2022,123,0.4956521739130435,6440
2022,12_,0.5017377927183636,17551
2022,1_3,0.5100574712643678,6960
2022,1__,0.5085604107138709,43047
2022,_23,0.5133841131664854,4595
2022,_2_,0.5078149132019522,16187
2022,__3,0.5086092715231788,5285
2022,___,0.5010815755948665,116959
2023,123,0.4863481228668942,7032
2023,12_,0.4972987149226331,19065
2023,1_3,0.5071356494161742,6937
2023,1__,0.5075053773282687,43702
2023,_23,0.4920113810461808,4569
2023,_2_,0.505524071211861,17469
2023,__3,0.5264270613107822,5203
2023,___,0.5022267870397542,115862
2024,123,0.47595287595287594,7215
2024,12_,0.48325081639102496,18986
2024,1_3,0.4937323089365144,7419
2024,1__,0.49296527159394476,44920
2024,_23,0.48999583159649857,4798
2024,_2_,0.500343485230135,17468
2024,__3,0.5067155067155067,5733
2024,___,0.4876622377263633,116958
