season,inning_phase,succ,n
2019,1-3,0.5579898690729925,72254
2019,4-6,0.5518810593855111,70758
2019,7-9,0.5383255615494803,65622
2019,10+,0.5325760106916138,2993
2020,1-3,0.5387678487631561,74585
2020,4-6,0.5273464423271843,73995
2020,7-9,0.5139667231417525,69057
2020,10+,0.5208526413345691,3237
2021,1-3,0.5213911159835687,75709
2021,4-6,0.5164456091560595,74792
2021,7-9,0.49944329568951806,69157
2021,10+,0.5079668578712556,1569
2022,1-3,0.5103265132022511,72677
2022,4-6,0.506034423169973,72335
2022,7-9,0.49567359868594724,68186
2022,10+,0.47621536853110297,3826
2023,1-3,0.5096841071525997,73316
2023,4-6,0.5024213075060533,73514
2023,7-9,0.49616732847522216,68751
2023,10+,0.5143259746359793,4258
2024,1-3,0.4996206322795341,75125
2024,4-6,0.48851138118579196,74465
2024,7-9,0.48071136595889635,70456
2024,10+,0.48333816285134745,3451
