season,platoon,succ,n
2019,opp_hand,0.5522330097087379,100425
2019,same_hand,0.5470135429218899,111202
2020,opp_hand,0.534270829470874,107876
2020,same_hand,0.5199118568470238,112998
2021,opp_hand,0.5191616440345654,110168
2021,same_hand,0.5064155088736617,111059
2022,opp_hand,0.5106536525520053,110854
2022,same_hand,0.4964208345106904,106170
2023,opp_hand,0.5144583015487236,112738
2023,same_hand,0.4911812214638519,107101
2024,opp_hand,0.5022987240599784,118109
2024,same_hand,0.4755949443959464,105388
