count_state,succ,n,succ_rec,n_rec
0-0,0.5265672080546777,380996,0.49442995601572537,128455
0-1,0.5341053500206299,181775,0.50645563673476,61729
0-2,0.5185313784567825,89281,0.4967895440174701,30681
1-0,0.5248518188509665,154878,0.488112398854485,52029
1-1,0.5284556631892697,150304,0.4956526894044184,50606
1-2,0.5244416109113311,139598,0.5009925817573921,47855
2-0,0.5188882942403159,54187,0.4823846746669603,18166
2-1,0.5217553641658784,80348,0.4855338904363974,26925
2-2,0.5209854471938647,119702,0.49395416869819603,41020
3-0,0.5073089700996678,18060,0.48468379446640314,6072
3-1,0.5043895553987298,35425,0.46951889743806546,11827
3-2,0.4996030508378463,70538,0.46131744623315163,23667
