inning,succ,n,succ_rec,n_rec
1,0.5320791572680976,172012,0.5017935571926018,57149
2,0.531250575644261,162861,0.49978234056446347,55132
3,0.5294857010366519,163893,0.49881342729298384,55201
4,0.5265949978328419,163809,0.49562566516947165,55437
5,0.5239146431199412,164439,0.4894914281615379,55764
6,0.5241112031004403,166686,0.4898715765574003,56376
7,0.5171604367464523,168702,0.48775453082359527,57164
8,0.5145428250040174,168021,0.4846176848252449,56851
9,0.5150220098302557,124717,0.4859869099278368,41711
10,0.5040797045435025,11643,0.49793729372937295,4848
11,0.5037676897629112,5441,0.49805636540330417,2058
12,0.5101387406616862,2811,0.5109034267912772,1284
13,0.5087719298245614,57,0.5087719298245614,57
