game_type,count_state,succ,n
F,0-0,0.45827029752899645,7932
F,0-1,0.4422124380847551,3634
F,0-2,0.48691384950926936,1834
F,1-0,0.45317777095486644,3257
F,1-1,0.4716538074471654,2981
F,1-2,0.48338368580060426,2648
F,2-0,0.4609053497942387,1215
F,2-1,0.4473358116480793,1614
F,2-2,0.46365248226950356,2256
F,3-0,0.4497907949790795,478
F,3-1,0.4287515762925599,793
F,3-2,0.4407894736842105,1368
R,0-0,0.4901629345647817,57385
R,0-1,0.5087510803802938,27768
R,0-2,0.49298233363591926,14321
R,1-0,0.48367197273629264,23181
R,1-1,0.4881783987103708,22332
R,1-2,0.4995632384717944,21751
R,2-0,0.4751131221719457,8177
R,2-1,0.47777214334009466,11832
R,2-2,0.4939621409921671,18384
R,3-0,0.48757309941520466,2736
R,3-1,0.46374593457049934,5227
R,3-2,0.4590983370181678,10403
