count_state,game_type,succ,n
3-2,R,0.4872902211707921,62983
3-1,R,0.491186462406256,31202
3-0,R,0.4940468569965433,15622
2-0,R,0.5063719717362046,47552
0-2,R,0.5096198380212049,79887
2-1,R,0.5107302742025741,71480
2-2,R,0.511481050918391,107525
1-0,R,0.514444793088099,137039
0-0,R,0.5164301485910893,338311
1-2,R,0.5169004442038562,125618
1-1,R,0.5190452081720174,134312
0-1,R,0.5264922457968589,162557
1-2,F,0.592203147353362,13980
0-2,F,0.5943155205450288,9394
0-1,F,0.5985014049328754,19218
3-1,F,0.6019417475728155,4223
3-2,F,0.6022501654533422,7555
1-0,F,0.6047984752508548,17839
2-2,F,0.6049108975938244,12177
0-0,F,0.606911092889774,42685
1-1,F,0.6074912456228114,15992
2-0,F,0.6085908063300678,6635
2-1,F,0.6106224627875507,8868
