count_state,li_bucket,succ,n
3-1,<0.5,0.49465263157894734,11875
3-2,<0.5,0.4958765970174764,23403
3-0,<0.5,0.5008278145695364,6040
3-2,1.0-2.0,0.5012025012025012,18711
3-2,0.5-1.0,0.5014544430890494,21314
3-2,>2.0,0.5021097046413502,7110
3-1,0.5-1.0,0.5046389287422286,10455
3-0,0.5-1.0,0.5049135220125787,5088
3-1,>2.0,0.510314875135722,3684
2-2,<0.5,0.5108740465883324,38808
2-0,<0.5,0.5130852473498233,18112
3-1,1.0-2.0,0.5140792689406014,9411
0-2,<0.5,0.5144749672169732,29741
2-0,>2.0,0.5149535922997593,5818
0-2,0.5-1.0,0.5151200286635614,27910
3-0,1.0-2.0,0.515120555782591,4894
2-0,0.5-1.0,0.5153581442773387,15692
2-1,<0.5,0.5173749529898458,26590
1-0,<0.5,0.5176733780760626,51405
1-0,>2.0,0.5178538275883409,16159
1-2,<0.5,0.5190185128182577,45482
0-0,<0.5,0.5199308682691698,126136
2-2,>2.0,0.520006655020381,12021
1-1,<0.5,0.52267327335865,49243
0-0,>2.0,0.5231362139812664,39181
2-1,0.5-1.0,0.5235578498852835,24408
0-1,<0.5,0.5235877403846154,59904
2-1,>2.0,0.5240271772699197,8095
2-1,1.0-2.0,0.5243001646671371,21255
1-1,>2.0,0.5249300093320891,15002
0-2,1.0-2.0,0.5249444468650604,22951
0-2,>2.0,0.526443138610439,8679
1-2,>2.0,0.5265038279256289,13715
2-2,1.0-2.0,0.5267887897291373,31935
2-2,0.5-1.0,0.5269099572256213,36938
1-2,1.0-2.0,0.5271206236249558,36817
1-2,0.5-1.0,0.5271888766519823,43584
1-0,0.5-1.0,0.5291111832846163,46185
0-0,1.0-2.0,0.5293958710684586,99929
1-1,0.5-1.0,0.5307292561415564,46568
2-0,1.0-2.0,0.5314795743220048,14565
1-0,1.0-2.0,0.5317902210119381,41129
0-0,0.5-1.0,0.5325183585313175,115750
1-1,1.0-2.0,0.5343242764174115,39491
0-1,>2.0,0.5343844347534384,17886
0-1,0.5-1.0,0.5379187781531531,56832
0-1,1.0-2.0,0.5427650414607766,47153
