count_state,li_bucket,succ,n
3-1,<0.5,0.4537223340040241,3976
3-2,<0.5,0.4586101175268268,7828
3-2,0.5-1.0,0.45976356644352656,7021
3-1,0.5-1.0,0.4657092614302462,3412
3-2,1.0-2.0,0.4676788229769917,6389
2-0,0.5-1.0,0.4699400734583414,5173
2-0,<0.5,0.4791632619709103,6119
1-0,<0.5,0.47966307044366235,17333
2-2,<0.5,0.48257311713896045,13198
2-1,1.0-2.0,0.484445067264574,7136
1-0,>2.0,0.4849029475197699,5564
2-1,<0.5,0.48581997533908755,8921
0-0,<0.5,0.4861756040070713,42425
2-1,0.5-1.0,0.487606363300037,8109
3-1,1.0-2.0,0.4884603224786595,3163
1-0,0.5-1.0,0.48861337683523653,15325
0-0,>2.0,0.4901843696349929,13397
0-2,0.5-1.0,0.49149358104581986,9581
1-1,<0.5,0.49217109604655346,16669
1-1,>2.0,0.4926156237854644,5146
0-2,<0.5,0.4931764240506329,10112
1-1,0.5-1.0,0.49540872022089516,15573
0-1,<0.5,0.49710754017305314,20225
1-2,<0.5,0.4971206729213847,15455
2-2,1.0-2.0,0.4978883996765208,11129
0-0,1.0-2.0,0.49912708980618437,33795
2-2,0.5-1.0,0.4991652754590985,12579
1-0,1.0-2.0,0.4994567972767437,13807
0-0,0.5-1.0,0.5008239353210773,38838
2-0,1.0-2.0,0.5013333333333333,4875
1-1,1.0-2.0,0.5015130882130429,13218
1-2,1.0-2.0,0.5016730215547428,12851
0-2,1.0-2.0,0.502687164104487,8001
1-2,>2.0,0.5034612964128382,4767
1-2,0.5-1.0,0.5036530915978893,14782
2-2,>2.0,0.5038891589693729,4114
0-1,>2.0,0.5059533518186267,6131
0-1,0.5-1.0,0.5091785936527692,19284
0-1,1.0-2.0,0.5151345639878178,16089
