count_state,outs_before,succ,n
3-1,0,0.4897959183673469,11711
3-2,0,0.4918305533040399,23441
3-0,0,0.49190452345184443,5991
3-2,1,0.49802405871368394,23027
3-0,2,0.5030342791536822,6097
3-1,1,0.5047635396103338,11651
3-2,2,0.5086830078936435,24070
2-0,0,0.5113598396257936,17958
2-1,0,0.5156209656596953,27111
0-2,2,0.515630513019547,28342
2-0,1,0.5156982839485736,18123
2-2,0,0.5160213945728446,40758
0-2,1,0.5164556962025316,30020
3-1,2,0.5181961369476913,12063
1-2,2,0.5210288727987843,44748
1-0,1,0.5212123558101727,51668
2-1,1,0.5219550739361102,26577
0-2,0,0.5232057957889971,30919
2-2,2,0.5234824199867705,39306
0-0,0,0.5235262099517682,132278
2-2,1,0.5236137040213936,39638
1-2,0,0.5236215564881372,48134
1-0,0,0.5244573524915928,52336
1-1,0,0.5259316770186335,51520
0-0,1,0.5262987729867836,126812
3-0,1,0.5271265907568654,5972
1-1,1,0.5271491852237878,49891
2-1,2,0.5277944486121531,26660
1-2,1,0.5285555270142992,46716
1-0,2,0.5289538860714706,50874
2-0,2,0.5295482160609742,18106
0-0,2,0.5301461782028776,121906
0-1,2,0.5303380953209557,57469
1-1,2,0.5324484077475303,48893
0-1,1,0.5352417449908323,60539
0-1,0,0.5364216601063246,63767
