count_state,platoon,succ,n
3-1,same_hand,0.4833007059381859,16857
3-2,same_hand,0.4834555065564674,34241
3-0,same_hand,0.4847171799976578,8539
2-0,same_hand,0.5045819232670443,26299
2-1,same_hand,0.5111604862600878,39156
1-0,same_hand,0.513107341679517,76522
2-2,same_hand,0.5138568515361214,59826
3-2,opp_hand,0.5148359368542855,36297
0-0,same_hand,0.5169060256009991,192180
1-2,same_hand,0.5172029668067345,70918
0-2,opp_hand,0.5181072057868867,43132
0-2,same_hand,0.5189278207545126,46149
1-1,same_hand,0.5216978609625669,74800
3-1,opp_hand,0.5235351141749246,18568
3-0,opp_hand,0.5275706333368344,9521
2-2,opp_hand,0.5281080900527757,59876
0-1,same_hand,0.5284828823409352,93091
2-1,opp_hand,0.5318265682656826,41192
1-2,opp_hand,0.5319161327897496,68680
2-0,opp_hand,0.5323795180722891,27888
1-1,opp_hand,0.5351504556050011,75504
1-0,opp_hand,0.5363214048700802,78356
0-0,opp_hand,0.536400516905347,188816
0-1,opp_hand,0.5400072166343421,88684
