count_state,runner_on_3b,succ,n
3-2,0,0.4986711766127084,62085
3-1,0,0.5033626487325401,30928
3-0,0,0.5063696306254402,15621
3-2,1,0.5064474151188927,8453
3-1,1,0.511452079163887,4497
2-0,0,0.5180087661718932,47227
0-2,0,0.5180680811785104,80169
1-0,1,0.5201285613117612,18357
2-2,0,0.520642352786318,106359
2-1,0,0.5209711778564677,70883
1-2,1,0.521744993594498,14831
0-2,1,0.5226075504828798,9112
2-2,1,0.5237203027804842,13343
1-2,0,0.5247621566600142,124767
2-0,1,0.5248563218390805,6960
1-0,0,0.5254869214260077,136521
0-0,0,0.5264974511469839,338976
0-0,1,0.5271299381247025,42020
2-1,1,0.5276281035393555,9465
1-1,0,0.5276619903485575,133866
0-1,0,0.5336322594891675,163028
1-1,1,0.5349190899136148,16438
0-1,1,0.5382194484450845,18747
