count_state,score_bucket,succ,n
3-2,gapped(4-5),0.49147516679021497,9443
2-0,blowout(>=6),0.4916445416211151,6403
3-2,mod(2-3),0.49385446130110566,19445
3-1,blowout(>=6),0.49472133562484655,4073
3-2,blowout(>=6),0.4968944099378882,7728
3-1,gapped(4-5),0.49834574028122414,4836
2-2,blowout(>=6),0.5022669638054253,13013
3-2,close(<=1),0.5057779612051176,33922
3-1,close(<=1),0.506802311581989,16612
3-1,mod(2-3),0.5072697899838449,9904
1-0,blowout(>=6),0.5081045680292529,18323
3-0,close(<=1),0.5093463507560424,8399
3-0,mod(2-3),0.5106173810460086,5086
2-0,gapped(4-5),0.5126826578439482,7254
2-1,blowout(>=6),0.5141718334809566,9032
1-2,blowout(>=6),0.5145983079956746,15721
0-2,mod(2-3),0.5158511928831379,24730
0-0,blowout(>=6),0.5161174865221574,44703
2-1,gapped(4-5),0.5161230541141586,10792
2-2,gapped(4-5),0.5164526228356016,15651
2-1,mod(2-3),0.5169457468184863,22395
0-2,gapped(4-5),0.5175925925925926,11880
2-2,mod(2-3),0.5177555542248039,33398
1-1,blowout(>=6),0.5181893101012479,16988
0-1,blowout(>=6),0.51897943494138,20812
0-2,blowout(>=6),0.5191158334123898,10541
0-2,close(<=1),0.5202231189176358,42130
1-2,mod(2-3),0.5204428197350341,38571
1-0,gapped(4-5),0.5215443789863187,20539
1-0,mod(2-3),0.5231394838381738,43281
0-0,mod(2-3),0.5237978247928262,105829
0-0,gapped(4-5),0.5240665944241947,50755
2-0,close(<=1),0.5241119269696368,25195
2-0,mod(2-3),0.524616889468536,15335
1-1,gapped(4-5),0.5246872942725477,19747
1-2,gapped(4-5),0.5279530128344573,18388
2-1,close(<=1),0.5279708358467309,38129
1-2,close(<=1),0.5280940852984249,66918
1-1,close(<=1),0.5283087110146621,71886
2-2,close(<=1),0.5283136710617626,57640
0-1,gapped(4-5),0.5292242735325772,24158
1-0,close(<=1),0.5310235787447584,72735
0-0,close(<=1),0.5315037087736285,179709
0-1,mod(2-3),0.5338171435369699,50433
1-1,mod(2-3),0.5346784060648226,41683
0-1,close(<=1),0.5392835641180012,86372
