count_state,score_bucket,succ,n
3-2,gapped(4-5),0.4449230769230769,3250
3-2,mod(2-3),0.45517030701084465,6547
1-0,blowout(>=6),0.46710743801652893,6050
3-2,close(<=1),0.4691303580878462,11338
3-1,close(<=1),0.46925329428989754,5464
2-2,blowout(>=6),0.47345132743362833,4294
2-1,gapped(4-5),0.4778220451527224,3765
1-1,blowout(>=6),0.48184759166067576,5564
0-0,blowout(>=6),0.4822733793291892,14639
1-0,mod(2-3),0.48296034283382083,14701
2-1,mod(2-3),0.4834035827186512,7592
1-0,gapped(4-5),0.4858026426764127,7114
3-1,mod(2-3),0.48584070796460177,3390
2-0,mod(2-3),0.4861403173389409,5231
0-0,gapped(4-5),0.48680018206645426,17576
0-2,gapped(4-5),0.4872284554786345,4189
0-1,blowout(>=6),0.4878120411160059,6810
0-0,mod(2-3),0.48951668743941285,36105
2-2,mod(2-3),0.4898155433167235,11439
2-2,gapped(4-5),0.490525563103325,5594
2-0,close(<=1),0.49055232558139533,8256
2-1,close(<=1),0.490627224551135,12643
1-2,mod(2-3),0.49413004214328715,13288
1-1,gapped(4-5),0.495483682983683,6864
0-2,close(<=1),0.4957253075693334,14387
1-2,blowout(>=6),0.49572649572649574,5148
1-1,close(<=1),0.49608365969502544,24002
1-0,close(<=1),0.4971858963747724,24164
0-1,gapped(4-5),0.5,8400
0-2,mod(2-3),0.5002318034306907,8628
1-1,mod(2-3),0.5004232505643341,14176
2-2,close(<=1),0.5018026709998477,19693
0-0,close(<=1),0.5025692192566725,60135
0-2,blowout(>=6),0.5041702617198734,3477
1-2,gapped(4-5),0.504907306434024,6419
1-2,close(<=1),0.5050434782608696,23000
0-1,mod(2-3),0.5099551156634826,17378
0-1,close(<=1),0.510586458941011,29141
