inning_phase,li_bucket,succ,n
10+,1.0-2.0,0.5053172633817795,5642
10+,>2.0,0.5067791005291006,12096
7-9,<0.5,0.5111443344456963,233437
7-9,1.0-2.0,0.5168142220541129,84601
4-6,<0.5,0.5185914830608108,157357
7-9,0.5-1.0,0.5193930379565802,69922
1-3,>2.0,0.5213997186039123,22033
4-6,>2.0,0.5238038248881017,41779
7-9,>2.0,0.5249319542732717,73480
4-6,0.5-1.0,0.5258219377363981,151228
1-3,<0.5,0.5285023950259593,94571
1-3,0.5-1.0,0.530432729720986,228734
4-6,1.0-2.0,0.5310091996956492,144570
1-3,1.0-2.0,0.534622102875616,153428
